record_id,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,temperature_c,humidity_pct,soil_ph,rainfall_mm,soil_moisture_pct,organic_matter_pct,sunlight_hours,altitude_m,soil_type,region,state,season,irrigation_method,crop_label
SF-01557,49.50,50.90,55.00,24.90,42.50,7.30,754.00,22.40,2.17,11.10,446.00,loam,south,Telangana,zaid,drip,groundnut
SF-01191,43.00,45.10,36.10,14.10,39.00,7.40,418.30,33.70,1.95,9.00,674.00,sandy_loam,east,West Bengal,rabi,rainfed,lentil
SF-01861,63.00,45.20,68.00,16.80,68.30,5.70,1158.60,53.20,3.34,6.70,1975.00,loam,north,Jammu and Kashmir,rabi,sprinkler,apple
SF-00100,115.70,48.90,66.40,32.60,84.90,6.50,2671.20,68.70,2.17,7.80,473.00,alluvial,east,Bihar,kharif,canal,rice
SF-00121,125.40,33.20,54.90,14.80,60.50,6.90,729.40,38.60,2.06,10.20,116.00,silty_loam,central,Madhya Pradesh,rabi,canal,wheat
SF-01394,41.00,48.50,34.80,29.20,77.20,6.70,609.50,37.10,2.57,8.90,508.00,sandy_loam,east,Odisha,kharif,drip,blackgram
SF-00882,50.00,49.00,35.50,25.00,71.60,8.10,1049.30,34.30,2.17,9.00,707.00,loam,west,Goa,kharif,rainfed,pigeonpea
SF-01041,44.60,34.40,53.80,21.00,62.80,6.80,762.40,34.10,1.65,8.50,769.00,sandy_loam,west,Goa,rabi,drip,kidneybeans
SF-00734,31.70,48.50,49.50,16.80,57.90,7.60,591.60,20.30,1.22,9.50,1325.00,black,west,Maharashtra,rabi,sprinkler,chickpea
SF-00375,121.50,48.80,67.90,26.60,75.80,6.60,1522.70,57.90,2.77,9.90,185.00,black,south,Karnataka,kharif,canal,sugarcane
SF-00343,69.40,40.00,58.10,22.30,64.70,6.30,950.70,46.60,2.29,8.30,358.00,loam,plateau,Maharashtra,zaid,drip,maize
SF-00833,35.50,58.70,45.80,24.90,59.40,6.90,632.90,25.20,1.77,9.60,617.00,black,west,Rajasthan,rabi,rainfed,chickpea
SF-01703,76.50,51.60,89.10,18.30,77.70,5.30,961.90,44.80,2.43,7.60,781.00,loam,central,Chhattisgarh,rabi,sprinkler,potato
SF-01552,34.60,57.40,55.90,25.20,56.80,6.90,708.20,23.60,1.60,12.10,570.00,red,coastal,Goa,zaid,sprinkler,groundnut
SF-01237,37.70,58.90,53.60,26.80,66.40,6.90,697.50,26.80,1.50,10.20,761.00,sandy_loam,central,Chhattisgarh,zaid,drip,mungbean
SF-01709,90.40,68.80,71.40,19.80,81.50,5.40,854.30,52.10,1.79,7.90,1387.00,sandy_loam,central,Chhattisgarh,rabi,sprinkler,potato
SF-00907,42.90,33.80,48.00,26.70,46.70,6.90,641.60,28.60,2.08,9.60,414.00,loam,west,Rajasthan,kharif,drip,pigeonpea
SF-00866,40.20,54.40,42.90,29.10,68.60,7.10,728.20,26.10,2.39,9.00,703.00,loam,central,Chhattisgarh,kharif,drip,pigeonpea
SF-01647,121.00,57.40,111.90,29.80,86.10,5.60,1587.00,54.30,2.87,9.60,479.00,alluvial,south,Tamil Nadu,kharif,flood,banana
SF-01330,40.10,44.70,41.70,35.00,63.70,7.30,890.80,35.10,1.36,9.50,393.00,sandy_loam,east,Jharkhand,kharif,drip,blackgram
SF-00071,115.80,50.10,73.80,28.70,80.60,6.40,1378.40,72.40,1.14,6.40,475.00,silty_loam,east,Assam,perennial,canal,rice
SF-01476,43.40,44.70,50.20,25.70,63.90,7.00,647.60,29.10,1.90,10.10,430.00,sandy_loam,south,Karnataka,zaid,sprinkler,groundnut
SF-01233,35.60,52.60,35.30,31.50,62.20,7.20,700.40,21.80,2.02,9.20,422.00,loam,plateau,Telangana,zaid,rainfed,mungbean
SF-00632,88.90,33.00,67.90,25.70,86.20,6.50,1763.60,71.50,2.53,9.00,165.00,silty_loam,coastal,Odisha,kharif,rainfed,jute
SF-00257,104.60,35.80,54.40,26.20,62.30,6.50,624.10,36.80,1.84,8.40,401.00,sandy_loam,north,Uttarakhand,kharif,sprinkler,maize
SF-01205,32.60,52.90,45.90,28.10,58.60,6.80,770.40,34.90,1.72,9.60,226.00,loam,central,Chhattisgarh,kharif,rainfed,mungbean
SF-01711,88.10,51.60,88.90,19.20,73.20,5.80,732.20,40.00,2.06,8.00,1324.00,sandy_loam,central,Madhya Pradesh,rabi,sprinkler,potato
SF-01573,113.50,58.00,89.20,28.90,83.60,6.50,2045.80,56.50,2.98,9.70,530.00,black,coastal,Tamil Nadu,perennial,drip,banana
SF-01878,65.10,37.80,85.50,12.20,52.50,6.30,729.50,39.80,3.57,7.20,2318.00,silty_loam,hill,Sikkim,perennial,sprinkler,apple
SF-01537,34.60,44.70,55.90,24.30,58.80,6.90,635.20,29.20,1.36,10.00,438.00,sandy_loam,coastal,Odisha,zaid,sprinkler,groundnut
SF-01836,69.60,42.50,64.70,5.70,63.10,5.90,846.60,44.10,2.97,7.20,2377.00,silty_loam,north,Punjab,rabi,drip,apple
SF-00519,65.90,37.50,61.00,23.00,50.80,7.30,765.90,31.30,1.80,10.40,285.00,red,central,Madhya Pradesh,kharif,drip,cotton
SF-01171,33.10,44.00,40.70,17.70,49.50,7.50,516.80,27.20,2.18,8.50,966.00,sandy_loam,east,Assam,rabi,rainfed,lentil
SF-01385,37.50,46.70,36.00,30.60,69.50,7.00,687.40,33.80,1.93,10.40,524.00,black,coastal,Kerala,kharif,drip,blackgram
SF-00600,63.50,27.30,74.50,26.40,40.60,7.40,711.20,38.20,1.52,10.20,572.00,red,central,Madhya Pradesh,kharif,sprinkler,cotton
SF-00949,43.90,57.40,42.20,24.40,50.60,7.10,894.80,26.30,1.88,9.00,562.00,black,plateau,Karnataka,kharif,rainfed,pigeonpea
SF-01852,51.60,39.20,65.30,13.60,75.30,6.10,1082.10,50.10,3.16,7.80,1620.00,sandy_loam,north,Himachal Pradesh,perennial,drip,apple
SF-00248,86.10,33.20,57.80,29.70,58.90,6.80,449.00,39.80,2.10,9.00,870.00,sandy_loam,central,Chhattisgarh,kharif,drip,maize
SF-01859,39.20,47.60,64.00,18.00,64.30,6.40,1073.60,47.60,3.39,7.70,2732.00,sandy_loam,hill,Arunachal Pradesh,rabi,drip,apple
SF-00421,119.00,50.10,86.60,25.00,71.50,6.80,1658.90,64.90,2.58,9.20,462.00,alluvial,coastal,Andhra Pradesh,perennial,flood,sugarcane
SF-01448,39.70,59.90,50.30,22.90,60.30,6.80,851.10,20.10,2.00,11.90,190.00,sandy_loam,west,Rajasthan,zaid,sprinkler,groundnut
SF-00528,75.80,43.10,57.40,25.00,53.10,7.20,596.80,27.90,1.53,10.40,341.00,red,west,Gujarat,kharif,sprinkler,cotton
SF-00608,98.20,45.30,61.70,30.80,78.20,6.70,1775.20,71.70,3.23,8.20,369.00,silty_loam,coastal,Odisha,kharif,flood,jute
SF-00496,53.80,35.20,61.40,29.20,51.50,6.80,957.00,34.00,1.55,10.50,580.00,red,west,Goa,kharif,drip,cotton
SF-01002,46.90,42.00,50.70,24.90,57.40,6.90,599.90,30.90,1.87,8.00,824.00,red,central,Madhya Pradesh,rabi,sprinkler,kidneybeans
SF-00129,81.10,48.00,42.30,15.10,67.50,7.30,660.20,27.60,1.82,9.50,811.00,loam,plateau,Maharashtra,rabi,sprinkler,wheat
SF-01908,57.20,38.70,49.20,16.10,68.10,6.10,1012.90,61.40,2.62,7.00,2366.00,sandy_loam,hill,Jammu and Kashmir,perennial,drip,apple
SF-01547,47.00,40.10,60.60,26.10,65.20,6.40,941.70,28.90,1.69,10.30,219.00,sandy_loam,west,Rajasthan,kharif,drip,groundnut
SF-00255,56.80,36.10,50.60,22.00,63.70,6.60,520.50,41.30,1.89,9.80,280.00,red,north,Punjab,zaid,canal,maize
SF-00555,54.50,44.20,57.10,29.60,57.00,7.60,808.60,21.40,1.77,10.60,285.00,black,south,Andhra Pradesh,kharif,drip,cotton
SF-00484,69.60,45.20,68.00,24.70,61.60,6.90,683.70,33.50,1.69,11.50,571.00,red,west,Gujarat,kharif,drip,cotton
SF-01236,33.60,47.40,50.60,24.00,80.70,6.60,656.10,26.20,1.38,10.10,973.00,sandy_loam,plateau,Chhattisgarh,zaid,drip,mungbean
SF-01482,40.10,55.70,67.50,27.80,62.40,6.80,744.50,24.80,1.89,9.70,272.00,red,plateau,Chhattisgarh,kharif,sprinkler,groundnut
SF-01854,58.90,52.70,70.90,8.40,69.40,5.90,1099.00,41.30,4.30,6.80,2218.00,silty_loam,north,Jammu and Kashmir,perennial,drip,apple
SF-00618,111.50,36.50,65.90,33.60,89.50,6.70,1842.90,61.50,2.50,8.10,245.00,silty_loam,coastal,Tamil Nadu,kharif,rainfed,jute
SF-01563,109.50,63.30,95.90,28.00,90.20,6.10,2234.30,58.00,2.99,9.40,493.00,black,south,Telangana,kharif,drip,banana
SF-00430,126.90,50.60,72.70,25.30,76.40,7.10,1907.70,61.00,2.37,10.70,-137.00,loam,coastal,Andhra Pradesh,perennial,flood,sugarcane
SF-01466,58.20,41.90,41.20,24.80,53.40,7.10,880.80,25.10,1.91,10.80,751.00,sandy_loam,plateau,Chhattisgarh,zaid,drip,groundnut
SF-00918,45.90,37.00,50.90,35.70,73.70,5.80,907.90,33.90,1.94,9.20,444.00,loam,central,Chhattisgarh,kharif,drip,pigeonpea
SF-01775,86.90,61.60,83.50,25.20,71.50,6.10,712.30,48.10,2.42,6.90,1101.00,silty_loam,hill,Jammu and Kashmir,rabi,sprinkler,potato
SF-01286,32.60,41.40,52.90,22.70,64.70,6.70,797.70,32.40,1.75,9.30,790.00,loam,west,Gujarat,zaid,drip,mungbean
SF-00112,104.20,41.80,65.50,25.10,86.20,5.90,1920.20,66.10,3.05,7.70,365.00,clay,coastal,Goa,perennial,flood,rice
SF-00066,108.10,37.60,44.10,28.00,81.30,6.20,2043.60,71.40,2.89,6.80,205.00,clay,coastal,Kerala,kharif,flood,rice
SF-01221,29.60,51.40,30.50,29.20,57.80,7.00,698.30,29.70,1.63,9.00,675.00,sandy_loam,south,Andhra Pradesh,kharif,drip,mungbean
SF-00276,83.20,31.90,52.80,28.90,64.20,6.20,623.10,50.40,2.17,9.10,532.00,red,central,Chhattisgarh,zaid,drip,maize
SF-01135,37.80,47.10,36.20,14.90,52.40,6.50,521.80,32.10,1.68,8.70,1121.00,loam,east,Bihar,rabi,rainfed,lentil
SF-01464,45.90,40.50,55.20,28.90,58.00,7.10,739.40,21.40,1.73,9.30,777.00,red,south,Andhra Pradesh,kharif,drip,groundnut
SF-00030,108.00,45.00,66.80,29.80,83.20,6.50,2102.50,73.30,2.21,7.40,433.00,silty_loam,coastal,Kerala,kharif,canal,rice
SF-00945,52.70,49.20,36.50,29.40,60.90,6.90,897.20,30.90,1.77,9.40,747.00,red,south,Kerala,kharif,drip,pigeonpea
SF-01545,56.40,51.40,62.40,24.00,59.60,6.60,737.00,25.40,1.35,10.70,348.00,loam,west,Rajasthan,kharif,drip,groundnut
SF-01455,58.50,48.10,49.30,26.20,43.80,7.10,924.20,27.20,0.73,10.30,188.00,sandy_loam,west,Gujarat,zaid,drip,groundnut
SF-00760,40.60,41.80,45.40,23.50,50.50,8.00,368.70,18.00,1.99,10.00,552.00,black,west,Goa,rabi,rainfed,chickpea
SF-00842,41.80,39.00,67.50,30.80,62.90,6.80,861.20,36.40,2.10,7.60,1004.00,black,central,Chhattisgarh,kharif,drip,pigeonpea
SF-00238,99.30,38.70,55.20,18.90,54.00,6.90,585.00,29.80,1.63,10.30,1111.00,alluvial,central,Chhattisgarh,rabi,sprinkler,wheat
SF-00943,39.20,50.70,57.90,29.80,67.10,6.80,874.40,27.30,2.06,9.20,410.00,black,central,Madhya Pradesh,kharif,rainfed,pigeonpea
SF-00858,44.20,54.00,64.10,30.00,62.80,7.40,868.00,28.40,1.96,8.90,464.00,loam,south,Telangana,kharif,rainfed,pigeonpea
SF-01314,34.60,45.90,33.00,19.70,56.30,7.30,931.90,31.10,1.45,9.70,591.00,red,central,Chhattisgarh,kharif,rainfed,mungbean
SF-01379,39.50,38.10,43.00,25.50,61.10,6.70,462.20,26.50,2.26,9.70,276.00,loam,south,Andhra Pradesh,kharif,rainfed,blackgram
SF-01799,81.40,66.50,118.20,19.60,75.60,6.00,616.60,49.40,1.93,7.40,1975.00,sandy_loam,hill,Himachal Pradesh,rabi,drip,potato
SF-01125,37.60,58.80,35.20,22.20,63.30,6.90,459.50,30.20,1.73,8.40,554.00,sandy_loam,east,West Bengal,rabi,rainfed,lentil
SF-00298,77.10,33.40,61.30,26.00,70.50,6.80,880.40,47.50,2.36,9.50,970.00,sandy_loam,north,Uttarakhand,kharif,drip,maize
SF-00136,95.40,47.50,38.30,11.20,58.90,6.90,667.70,30.10,2.22,10.10,941.00,silty_loam,plateau,Telangana,rabi,sprinkler,wheat
SF-01294,36.10,57.00,52.80,30.50,56.00,6.50,401.70,35.80,2.10,10.20,641.00,loam,plateau,Karnataka,zaid,rainfed,mungbean
SF-00197,75.10,47.90,48.50,21.10,57.00,7.00,772.80,27.80,1.67,9.40,1041.00,silty_loam,north,Himachal Pradesh,rabi,sprinkler,wheat
SF-01698,92.80,51.90,95.70,21.80,68.10,5.90,777.70,41.00,2.64,7.90,1319.00,loam,hill,Jammu and Kashmir,rabi,drip,potato
SF-01797,92.70,58.40,89.50,19.70,75.50,5.80,895.20,38.60,2.14,7.20,1770.00,sandy_loam,central,Chhattisgarh,rabi,drip,potato
SF-01443,45.40,49.50,62.00,29.30,52.30,7.00,839.90,26.40,1.83,10.30,-144.00,red,plateau,Karnataka,kharif,drip,groundnut
SF-00463,114.60,52.50,68.30,27.10,70.80,6.10,2121.80,56.00,2.37,9.00,412.00,loam,central,Madhya Pradesh,perennial,canal,sugarcane
SF-01428,36.90,38.70,43.60,23.50,71.30,6.40,629.60,34.50,2.58,10.90,283.00,sandy_loam,coastal,Kerala,kharif,drip,blackgram
SF-00383,107.90,53.90,68.00,28.80,87.00,6.70,2109.70,60.20,2.80,10.10,609.00,black,coastal,Tamil Nadu,kharif,canal,sugarcane
SF-00722,34.80,60.60,49.80,15.60,63.50,7.10,462.00,13.20,1.95,9.60,625.00,loam,west,Maharashtra,rabi,sprinkler,chickpea
SF-01841,67.60,34.60,74.40,14.80,65.90,6.40,1275.70,36.20,2.69,7.40,2233.00,loam,north,Uttarakhand,perennial,sprinkler,apple
SF-01720,80.20,50.50,94.20,14.60,70.50,5.90,787.90,41.30,2.56,6.90,1239.00,silty_loam,central,Madhya Pradesh,rabi,sprinkler,potato
SF-00323,94.00,35.80,51.00,22.70,65.00,7.10,823.20,32.10,1.84,9.70,1061.00,loam,central,Chhattisgarh,kharif,sprinkler,maize
SF-00744,23.80,51.90,46.10,22.40,50.20,7.60,396.20,25.00,1.33,9.70,130.00,black,north,Uttar Pradesh,rabi,sprinkler,chickpea
SF-00716,85.90,37.40,56.50,27.00,87.90,6.50,1907.90,67.50,3.00,8.60,335.00,clay,east,Bihar,kharif,flood,jute
SF-00332,92.50,37.60,52.60,26.80,50.60,7.20,876.60,48.00,1.84,8.90,310.00,loam,north,Himachal Pradesh,kharif,canal,maize
SF-00306,86.70,53.70,54.90,23.00,61.20,6.70,828.00,39.80,1.72,8.90,563.00,red,plateau,Telangana,kharif,drip,maize
SF-00768,23.10,53.70,37.60,18.40,55.00,8.50,410.20,24.40,1.52,9.00,421.00,loam,west,Maharashtra,rabi,rainfed,chickpea
SF-00271,72.60,43.10,62.10,27.10,68.20,6.80,839.40,36.20,1.57,9.70,647.00,loam,plateau,Telangana,zaid,drip,maize
SF-00110,94.70,40.10,45.90,28.30,88.40,6.20,1532.00,68.80,2.43,8.80,157.00,silty_loam,coastal,Kerala,kharif,flood,rice
SF-01612,109.20,64.30,102.90,27.60,84.00,6.70,1997.40,59.00,2.57,9.10,451.00,alluvial,coastal,Kerala,perennial,flood,banana
SF-01425,34.50,46.20,52.30,30.00,75.30,6.80,896.30,23.40,2.67,10.80,595.00,sandy_loam,south,Karnataka,kharif,rainfed,blackgram
SF-01388,44.10,41.40,38.10,30.70,68.70,6.70,936.60,35.50,1.94,9.10,776.00,loam,east,Bihar,kharif,drip,blackgram
SF-00527,65.30,35.20,49.80,24.80,55.40,6.50,940.70,29.00,1.37,10.20,570.00,loam,south,Karnataka,kharif,drip,cotton
SF-00951,50.30,41.80,53.70,24.10,66.50,7.00,749.70,29.10,2.31,8.70,277.00,loam,central,Chhattisgarh,kharif,drip,pigeonpea
SF-01272,34.80,39.30,44.50,31.10,69.70,6.50,308.30,34.60,1.47,9.90,698.00,loam,west,Goa,kharif,drip,mungbean
SF-01050,26.30,45.00,54.20,21.30,67.60,6.70,545.50,27.70,1.80,9.00,758.00,red,central,Chhattisgarh,rabi,sprinkler,kidneybeans
SF-01810,60.70,39.50,61.00,13.50,73.50,6.00,1569.90,41.00,3.38,7.90,1991.00,sandy_loam,hill,Arunachal Pradesh,rabi,drip,apple
SF-00352,89.40,37.20,56.20,24.80,56.20,6.70,759.40,34.10,1.66,9.30,742.00,red,north,Haryana,zaid,sprinkler,maize
SF-00366,119.20,48.50,63.10,23.20,67.90,6.70,2017.00,65.60,2.87,9.40,455.00,loam,coastal,Kerala,kharif,canal,sugarcane
SF-01302,36.20,44.60,44.50,27.60,64.00,6.60,638.20,32.60,1.13,10.40,950.00,sandy_loam,west,Maharashtra,kharif,drip,mungbean
SF-01758,89.90,69.80,85.80,18.10,66.00,5.40,702.50,49.20,2.48,7.70,1377.00,silty_loam,central,Chhattisgarh,rabi,drip,potato
SF-01605,109.70,50.00,66.20,32.40,82.40,5.70,1968.60,62.60,3.32,10.20,278.00,alluvial,south,Kerala,perennial,drip,banana
SF-00975,37.30,35.90,37.10,29.70,73.30,7.20,547.70,30.00,1.63,7.70,728.00,loam,hill,Jammu and Kashmir,rabi,sprinkler,kidneybeans
SF-00234,86.10,42.50,39.90,13.30,63.00,6.70,534.50,33.70,1.83,9.20,1016.00,alluvial,north,Himachal Pradesh,rabi,sprinkler,wheat
SF-01561,101.70,53.90,90.40,25.70,93.40,6.10,1617.50,53.00,2.84,9.10,720.00,alluvial,east,Assam,kharif,flood,banana
SF-01091,34.60,42.20,49.60,12.60,52.60,7.30,402.10,22.80,1.73,9.00,594.00,sandy_loam,hill,Jammu and Kashmir,rabi,rainfed,lentil
SF-00433,121.10,50.90,77.40,32.30,63.60,6.30,1616.00,59.20,2.79,10.30,659.00,loam,west,Maharashtra,perennial,flood,sugarcane
SF-01665,111.50,57.40,75.20,31.50,94.10,6.40,1996.60,58.90,3.48,9.50,500.00,loam,coastal,Odisha,kharif,drip,banana
SF-00362,101.30,47.60,91.10,31.20,64.20,5.80,1983.30,59.40,3.05,9.30,516.00,black,coastal,Andhra Pradesh,kharif,flood,sugarcane
SF-00902,51.70,39.90,62.10,30.50,56.40,6.50,719.50,31.10,1.75,10.20,358.00,loam,west,Maharashtra,kharif,drip,pigeonpea
SF-01223,32.90,48.20,40.60,28.90,56.70,6.80,842.80,38.90,2.16,9.70,507.00,red,plateau,Chhattisgarh,zaid,rainfed,mungbean
SF-01911,60.20,42.30,68.80,13.60,61.20,6.40,1160.80,32.00,2.82,7.20,2025.00,silty_loam,hill,Sikkim,rabi,drip,apple
SF-00702,89.10,45.80,65.60,27.10,79.70,6.70,2368.80,59.90,2.39,8.90,356.00,alluvial,coastal,Andhra Pradesh,kharif,rainfed,jute
SF-00290,84.30,38.70,52.30,24.30,68.70,6.70,884.30,33.00,1.88,10.80,556.00,loam,plateau,Telangana,kharif,drip,maize
SF-01209,29.20,49.00,55.30,20.80,82.90,6.80,772.50,30.20,1.75,9.60,281.00,red,south,Andhra Pradesh,zaid,drip,mungbean
SF-00533,70.20,43.00,54.30,29.80,50.70,7.70,893.50,37.40,1.07,10.40,586.00,red,south,Telangana,kharif,sprinkler,cotton
SF-00860,50.00,53.50,53.30,19.20,49.60,7.10,853.80,27.70,1.63,10.10,595.00,black,south,Karnataka,kharif,drip,pigeonpea
SF-00440,124.60,43.50,72.20,23.60,71.40,6.70,1797.20,63.00,3.16,10.60,630.00,loam,central,Madhya Pradesh,perennial,canal,sugarcane
SF-00620,83.90,45.90,61.70,30.30,92.10,6.90,1998.70,76.90,2.43,8.60,161.00,clay,east,Assam,kharif,flood,jute
SF-01034,36.30,52.10,43.50,19.30,62.80,6.80,535.00,38.30,1.78,8.60,783.00,sandy_loam,central,Madhya Pradesh,rabi,sprinkler,kidneybeans
SF-00875,50.10,51.40,49.50,27.10,73.30,6.90,909.50,32.00,1.97,9.00,579.00,black,central,Chhattisgarh,kharif,rainfed,pigeonpea
SF-01343,31.50,49.00,51.40,31.90,61.90,7.00,733.60,42.10,1.54,9.00,123.00,sandy_loam,east,West Bengal,kharif,drip,blackgram
SF-00585,82.60,32.40,69.00,26.70,52.30,7.20,731.50,35.50,1.11,10.80,-14.00,red,south,Tamil Nadu,kharif,drip,cotton
SF-00232,109.80,47.70,45.70,14.40,57.10,6.70,531.40,30.20,1.84,9.10,708.00,loam,plateau,Telangana,rabi,sprinkler,wheat
SF-01375,35.10,48.20,45.90,29.40,78.40,6.20,898.50,42.10,2.19,9.90,450.00,loam,south,Andhra Pradesh,kharif,rainfed,blackgram
SF-01624,100.30,45.40,104.10,30.10,80.60,6.20,1811.00,56.10,2.67,9.80,408.00,loam,south,Kerala,perennial,drip,banana
SF-00793,41.50,52.50,54.90,17.20,34.80,6.90,432.80,22.40,1.45,9.20,755.00,sandy_loam,north,Himachal Pradesh,rabi,sprinkler,chickpea
SF-01809,69.40,34.50,63.30,12.80,54.20,6.40,1321.40,41.00,3.79,6.50,2109.00,silty_loam,north,Punjab,perennial,drip,apple
SF-01549,32.30,53.60,60.30,29.10,59.60,7.20,1007.50,31.10,2.03,9.70,399.00,sandy_loam,west,Gujarat,kharif,drip,groundnut
SF-00024,111.60,56.60,66.60,30.10,81.00,6.30,1890.20,76.20,2.01,8.00,368.00,silty_loam,east,Jharkhand,perennial,flood,rice
SF-00353,98.60,45.00,70.40,22.70,43.80,6.50,931.40,40.90,2.29,10.30,696.00,sandy_loam,plateau,Telangana,kharif,sprinkler,maize
SF-00064,137.30,51.90,55.90,30.40,80.60,6.10,2258.20,70.20,2.62,7.50,456.00,alluvial,east,Jharkhand,kharif,flood,rice
SF-01081,31.30,43.00,39.20,17.40,63.30,6.30,488.90,14.50,2.19,7.20,1511.00,sandy_loam,east,Odisha,rabi,sprinkler,lentil
SF-00307,85.60,45.60,54.20,26.20,58.60,6.90,904.80,45.40,2.44,9.90,575.00,loam,plateau,Maharashtra,zaid,canal,maize
SF-01593,104.20,65.70,117.20,25.30,91.80,6.60,1903.90,58.50,3.16,9.10,417.00,black,south,Karnataka,perennial,drip,banana
SF-00723,32.70,55.90,52.20,19.00,57.90,7.20,458.00,25.80,1.33,9.60,214.00,sandy_loam,west,Rajasthan,rabi,rainfed,chickpea
SF-00888,38.50,40.40,46.70,34.00,48.80,6.70,912.30,28.70,2.36,9.30,451.00,red,west,Goa,kharif,drip,pigeonpea
SF-01623,110.10,59.00,107.60,33.60,83.40,5.60,1795.30,61.90,3.08,9.40,729.00,alluvial,east,Jharkhand,kharif,drip,banana
SF-01177,34.70,41.40,42.80,11.70,44.80,7.60,519.90,26.80,1.15,7.70,538.00,sandy_loam,north,Jammu and Kashmir,rabi,rainfed,lentil
SF-01555,42.90,53.40,49.90,28.20,55.10,7.50,875.30,19.40,2.40,11.20,463.00,sandy_loam,coastal,Tamil Nadu,zaid,drip,groundnut
SF-01329,37.00,48.40,42.40,26.90,62.50,6.40,885.70,40.70,1.65,8.80,428.00,black,coastal,Andhra Pradesh,kharif,rainfed,blackgram
SF-01696,101.90,57.60,95.30,15.70,65.40,6.20,799.20,50.60,2.27,7.30,1819.00,loam,north,Haryana,rabi,sprinkler,potato
SF-01860,61.60,40.30,60.90,11.80,74.60,6.10,1607.90,48.30,3.10,7.80,2141.00,loam,hill,Sikkim,rabi,drip,apple
SF-00908,45.10,45.40,42.50,28.30,62.20,6.80,1202.60,29.40,1.91,9.20,298.00,black,south,Telangana,kharif,drip,pigeonpea
SF-00994,39.30,49.80,36.10,21.60,54.50,6.70,557.80,27.30,1.91,8.60,836.00,red,north,Punjab,kharif,sprinkler,kidneybeans
SF-00299,87.10,44.40,65.30,24.90,72.00,6.00,841.90,39.70,1.96,11.00,583.00,loam,plateau,Jharkhand,kharif,drip,maize
SF-01188,30.80,49.90,36.50,19.50,60.30,6.60,374.40,22.70,1.29,8.20,1157.00,loam,central,Chhattisgarh,rabi,sprinkler,lentil
SF-00213,86.10,43.10,65.10,11.40,58.90,6.40,583.90,30.60,1.86,9.20,802.00,silty_loam,central,Madhya Pradesh,rabi,canal,wheat
SF-01902,62.70,35.50,73.00,16.20,60.50,5.80,965.00,35.80,3.36,8.20,2633.00,loam,hill,Himachal Pradesh,perennial,sprinkler,apple
SF-01748,97.70,49.50,95.10,17.40,74.50,6.10,722.60,38.60,1.79,8.10,1026.00,sandy_loam,north,Haryana,rabi,drip,potato
SF-00890,41.50,46.80,65.70,29.30,72.10,7.10,1040.60,37.70,1.76,9.00,639.00,black,plateau,Jharkhand,kharif,rainfed,pigeonpea
SF-00670,77.80,43.20,56.60,25.90,87.20,6.10,1869.40,66.40,2.93,9.30,511.00,alluvial,east,Bihar,kharif,flood,jute
